"ID","Numéro d’inventaire","Pi","Provenance","secteur_ID","Famille","Type","Catégorie","Forme","Dimensions","Groupe d’argile ","Description","Contexte","Datation ","Origine ","Num_Analyse","Groupe géochimique ","Bibliographie","Rangement au musée archéologique de Thasos ","x","y"
"OHM-1","OHM-1",,"Artémision. Fouilles de 1979. Péribole carré, tranchée D12, sac 211/211 bis.",76,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 12 cm     Haut. prés. : 2,8 cm    ","MFG-1","Lèvre courte, épaisse et arrondie légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis noir mat qui s’écaille par endroits.","Archaïque","Seconde moitié du VIIe siècle av. J.-C.","Cycladique/Parienne","THA.72 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715000514,40.779644330
"OHM-2","OHM-2",,"Artémision. Fouilles de 1979. Péribole carré, sondage du haut, sac 136.",76,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 12 cm     Haut. prés. : 2,9 cm    ","MFG-1","Lèvre courte, épaisse et convexe légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis noir mat qui s’écaille par endroits.","Archaïque","Seconde moitié du VIIe siècle av. J.-C.","Cycladique/Parienne","THA.73 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715000514,40.779644330
"OHM-3","OHM-3",,"Artémision. Fouilles de 1983. Péribole carré, tranchée E12, sac 420.",76,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 12 cm     Haut. prés. : 2,3 cm    ","MFG-1","Lèvre courte et rectiligne légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis noir mat qui s’écaille par endroits.","Archaïque","Seconde moitié du VIIe siècle av. J.-C.","Cycladique/Parienne","THA.76 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715000514,40.779644330
"OHM-4","OHM-4",,"Artémision. Fouilles de 1979. Remblai Nord-Est.   ",61,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 9 cm     Haut. prés. :  2,2 cm    ","MFG.1","Lèvre courte, épaisse et arrondie légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont minces. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis brun rougeâtre mat qui adhère bien à la paroi. Segment","Archaïque","Seconde moitié du VIIe siècle av. J.-C.","Cycladique/Parienne","THA.91 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715079666,40.779911775
"OHM-5","OHM-5",,"Artémision. Fouilles de 1979. Carré J7, secteur B, sac 40.",61,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 10 cm     Haut. prés. : 5,7 cm    ","MFG.1","Lèvre haute, épaisse et arrondie inclinée vers l’extérieur. La face extérieure de la lèvre est légèrement concave. La vasque est courbe et galbée. Cicatrices d’une anse verticale fixée de la lèvre à la partie médiane de la vasque. Les parois sont massives","Archaïque","Seconde moitié du VIIe siècle av. J.-C.","Cycladique/Parienne","THA.106 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715079666,40.779911775
"OHM-6","OHM-6",,"Artémision. Fouilles de 1979. Carré J7, secteur B, sac 34, sous cote 5,94 m.",61,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 10 cm     Haut. prés. : 3,3 cm    ","MFG.1","Lèvre courte, épaisse et arrondie légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis noir mat qui s’écaille par endroits.","Archaïque","Seconde moitié du VIIe – début du VIe siècle av. J.-C.","Cycladique/Parienne","THA.108 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715079666,40.779911775
"OHM-7","OHM-7",,"Artémision. Fouilles de 1979. Remblai Nord-Est.",61,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 10 cm     Haut. prés. : 2,6 cm    ","MFG.1","Lèvre haute, épaisse et arrondie légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis mat de couleur noire qui adhère bien à la paroi.","Archaïque","Seconde moitié du VIIe – début du VIe siècle av. J.-C.","Cycladique/Parienne","THA.109 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715079666,40.779911775
"OHM-8","OHM-8",,"Artémision. Fouilles de 1979. Remblai Nord-Est.",61,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 10 cm     Haut. prés. : 3,7 cm    ","MFG.1","Lèvre courte et rectiligne légèrement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis mat de mauvaise qualité qui s’écaille par endroits.","Archaïque","Seconde moitié du VIIe – début du VIe siècle av. J.-C.","Cycladique/Parienne","THA.110 – Laboratoire de Céramologie de Lyon","MUG-1","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715079666,40.779911775
"OHM-9","OHM-9",,"Artémision. Fouilles de 1977. Péribole carré, sondage du haut, sac 136.",76,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 12 cm     Haut. prés. : 3,2 cm    ","MFG.2","Lèvre courte, épaisse et arrondie légèrement inclinée vers l’extérieur. La face extérieure est légèrement concave. Un sillon marque la jonction de la lèvre et de la vasque. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures","Archaïque","Seconde moitié du VIIe – début du VIe siècle av. J.-C.","Thasos","THA.88 – Laboratoire de Céramologie de Lyon","MUG-2","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715000514,40.779644330
"OHM-10","OHM-10",,"Artémision. Fouilles de 1979. Remblai Nord-Est. ",61,"Vase à boire","Tasse monoansée","Monochrome","Tasse - Mug","D. lèvre : 10 cm     Haut. prés. : 2,5 cm    ","MFG.2","Lèvre courte, épaisse et arrondie fortement inclinée vers l’extérieur. La vasque est courbe et galbée. Les parois sont massives. Les surfaces intérieures et extérieures sont entièrement vernies. Vernis noir mat qui s’écaille par endroits. ","Archaïque","Seconde moitié du VIIe – début du VIe siècle av. J.-C.","Thasos","THA.92 – Laboratoire de Céramologie de Lyon","MUG-2","Perron, M. 2018. “Archaic one-handled mugs from Thasos: A Parian origin?”, dans D. Katsonopoulou (éd.), Paros IV. Paros and its Colonies. Proceedings of the Fourth International Conference on the Archaeology of Paros and the Cyclades, Paroikia, Paros, 11-14 June 2015, Athens, The Institute for Archaeology of Paros and the Cyclades, p. 267-297.","Mezzanine de l’apothèque française",24.715079666,40.779911775
