"Corpus","ID","Pi","Inventaire","Archimage","Num_Analyse","secteur_ID","annee","Famille","Catégorie","Type","Forme","Description","Bibliographie","Période","x","y"
"GROS2018","Pi758","758",,,,515,"1953","Fine","Pergaménienne",,"Lagynos","Lagynos entier à anse torsadée, pâte fine légèrement micacée exogène, revêtement grésé rouge-brun réservé sur le fond. L. Ghali-Kahil propose une datation du IIIe siècle av. J.-C. elle apparaît cependant être en contradiction avec le mastos 757 Π  retrouvé dans la même sépulture et qui est daté de la deuxième moitié du IIe siècle av. J.-C.   De fait, il s’agit de la date qu’il faut aussi adopter pour le lagynos puisqu’un exemplaire analogue a été retrouvé dans une sépulture de Démétrias datée entre le milieu du deuxième siècle et le début du Ier av. J.-C.  Les parallèles pour cette forme ne sont pas rares mais portent le plus souvent un décor à fond blanc. A Erétrie, la même forme globulaire à anse torsadée décorée de bandes rouges est datée des environs de 100 av. J.-C.  La chronologie des lagynoi doit encore être précisée  mais Kaltsas suppose que les lagynoi sphériques remplacent les oinochoai après le milieu du IIe siècle av. J.-C.  La forme globulaire se rencontre tout autant avec une anse à bandeau, à Argos , à Délos  et inversement, le lagynos caréné peut être doté d’une anse torsadée .","Eth VII, p. 135, pl. LXVIII.34 ; GHALI-KAHIL 1954, p. 244, fig. 25",,24.704399978,40.774637964
"GROS2018","AOA73_512",,"AOA73/512",,,42,"1973","Commune","thasienne",,"Jatte","Large fragment du bord et de la panse d'une jatte.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_514",,"AOA73/514",,,42,"1973","Commune","thasienne",,"Urne","Large fragment d’urne doté d’une pseudo anse mobile imitant le mobilier métallique.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_519",,"AOA73/519",,,42,"1973","Commune","thasienne",,"Pot","Pot est fabriqué dans l'argile thasienne commune mais présente un profil proche d’une chytra. Le fragment ne présente qu’une seule anse, la restitution d’une seconde est hypothétique et aucune trace d’utilisation sur le feu ne permet de s’assurer de sa fonction. Il s’agit peut-être d’un des premiers exemplaires de forme destinée à la cuisson mais produite avec la même pâte que la céramique commune.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_522",,"AOA73/522",,,42,"1973","Commune","thasienne",,"Mortier","Fragment du bord d'un probable mortier.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_526",,"AOA73/526",,,42,"1973","fine","Parois fines","thasien","Gobelet","Fragment de la lèvre et du bord d'un gobelet à paroi fine. Le revêtement est d'un engobe orangé et la partie externe est guillochée.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_527",,"AOA73/527",,,42,"1973","fine","Parois fines","thasien","Gobelet","Fragment de la lèvre d'un gobelet à parois fine.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_528",,"AOA73/528",,,42,"1973","fine","thasienne","Forme 4","Assiette","Un large fragment de la lèvre et de la panse d’une assiette proche de la forme 4 de petit format. La pâte est orangée, mi-fine et micacée. Le revêtement de la même teinte mais plus foncé est partiellement préservé. Il s'agit d'une imiotation thasienne d'une assiette ESA.",,"Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_538",,"AOA73/538",,,42,"1973","Fine",,,"Coupe","Fragment du bord d'une coupe à paroi oblique.","GROS 2018, pl. 2","Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_541",,"AOA73/541",,,42,"1973","Fine",,,"Coupe","Fragment du bord d'une coupe à paroi oblique.","GROS 2018, pl. 2","Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_542",,"AOA73/542",,,42,"1973","Fine",,,"Coupe","Six fragments jointifs d’une coupe à paroi oblique et lèvre déversée. La forme est identique au précédent excepté que le sillon, orienté à l’extérieur, n’est pas formé par le repli de la lèvre. La pâte est grise, fine et micacée. Le revêtement noir recouvre partiellement l’extérieur avec des coulures sur le pied.","GROS 2018, pl. 2","Contexte Ier av. J.-C.",24.712389776,40.780123861
"GROS2018","AOA73_543",,"AOA73/543",,,42,"1973","Fine",,,"Assiette","Quatre fragments jointifs  appartenant à une assiette portant trois cercles de guillochis sur le fond. La pâte est grise granuleuse et contient régulièrement des inclusions micacées, le revêtement noir très écaillé recouvrait l’ensemble du vase (surface de pose incluse) excepté quelques endroits proches de la base. Il peut s’agir d’une version locale de la forme 4a en ESA, la densité des inclusions micacées, parfois larges de ½ mm pourrait correspondre mais l’absence exemplaires similaires à Thasos doit nous orienter sur une production exogène, éventuellement Éphèse sur la similitude de la pâte grise.","GROS 2018, pl. 2","Contexte Ier av. J.-C.",24.712389776,40.780123861
